date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,net_buy_dealer_hedging,net_buy_dealer_self,net_buy_foreign_dealer_self,net_buy_foreign_investor,net_buy_investment_trust,total_net_buy
2025-08-06,TAIEX,6009196963,361183155977,23443.36,23557.49,23433.53,23447.36,4.0,6639235727.8,6425802785.9,,23492.758,23427.811999999998,,-0.0019324253031509134,0.0008343929001992377,,-1520057633,-966087319,0,-10820572461,1809040245,-11497677168
2025-08-07,TAIEX,7106666762,467380441728,23717.35,24050.54,23717.35,24003.77,286.4200000000019,6644681170.0,6504206607.5,,23585.008,23490.816,,0.017755431755630473,0.021836363623979754,,5077117037,441533492,0,43239484056,1116606178,49874740763
2025-08-08,TAIEX,7010275195,432109965420,24026.65,24131.46,23967.99,24021.26,-5.390000000003056,6656679255.4,6608773148.7,,23702.384,23556.503999999997,,0.013453330264162467,0.019729413159100404,,1456702410,-164152695,0,-3256238186,-1861859628,-3825548099
2025-08-11,TAIEX,7230198655,437210225957,23980.39,24249.05,23887.25,24135.5,155.11000000000058,6793268099.0,6732346934.4,,23853.696000000004,23628.756,,0.011813850566385871,0.02144607189646373,,1283339631,2291157112,0,-3985502559,428896562,17890746
2025-08-12,TAIEX,7513604403,430747663190,24182.84,24263.92,24065.43,24158.36,-24.479999999999563,6973988395.6,6815203232.7,,23953.25,23724.44,,0.00856292987381673,0.018289999679655323,,444592490,34046489,0,-5731106152,-61610845,-5314078018
2025-08-13,TAIEX,8864976375,573873489672,24232.04,24406.94,24172.19,24370.02,137.97999999999956,7545144278.0,7092190002.9,,24137.782,23815.269999999997,,0.009621347976379984,0.023293878255421993,,2923632293,-46578231,0,7036580411,-1502399863,8411234610
2025-08-14,TAIEX,7941972349,486603622585,24258.5,24389.51,24198.88,24238.1,-20.400000000001455,7712205395.4,7178443282.7,,24184.648,23884.828,,0.002210162413775776,0.014790644504536403,,2433779668,1450404712,0,-4460109509,-2045083709,-2621008838
2025-08-15,TAIEX,7913302231,454217776031,24266.23,24385.56,24164.43,24334.48,68.25,7892810802.6,7274745029.0,6812319184.15,24247.291999999998,23974.838,23659.338,0.0035957829847556556,0.015000810433004795,0.028535963263215558,707080356,1867986315,0,5373846115,-3356859132,4592053654
2025-08-18,TAIEX,8459665044,457868280041,24272.55,24515.65,24257.3,24482.52,209.97000000000116,8138704080.4,7465986089.7,6971321789.65,24316.696,24085.196,23716.435999999998,0.0068193474968803545,0.016496606463156892,0.03230181803033148,-977775276,985643242,0,4638950093,1731672993,6378491052
2025-08-19,TAIEX,8279842992,477889208524,24493.92,24551.42,24324.29,24353.5,-140.41999999999825,8291951798.2,7632970096.9,7040838586.2,24355.724,24154.487,23784.715000000004,-9.131323708539073e-05,0.008239173119263473,0.02391388755341387,-4415298242,-1693738617,0,-11007665546,-1642414216,-18759116621
