date,stock_id,Trading_Volume,Volume_Change,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險),融資餘額(仟元)
2025-08-19,TAIEX,8279842992,-0.021256403304943904,477889208524,24493.92,24551.42,24324.29,24353.5,-140.41999999999825,8291951798.2,7632970096.9,,24355.724,24154.487,,-9.131323708539073e-05,0.008239173119263473,,-18759116621,-11007665546,0,-1642414216,-1693738617,-4415298242,250196431.0
2025-08-20,TAIEX,8611743600,0.04008537460440772,572237896405,24309.27,24309.27,23620.24,23625.44,-683.8300000000017,8241305243.2,7893224760.6,,24206.807999999997,24172.295,,-0.02401671463664266,-0.022623213890116747,,-69028137637,-62668571933,0,-2734736666,1915367105,-5540196143,248938691.0
2025-08-21,TAIEX,6990398614,-0.18827139558590666,420673855060,23739.83,24011.5,23739.83,23962.13,222.29999999999927,8050990496.2,7881597945.8,,24151.614,24168.131,,-0.007845604024642011,-0.008523662835160907,,-6068325600,-10078910548,0,1604056355,1099230232,1307298361,251706436.0
2025-08-22,TAIEX,6571719689,-0.059893426415124885,369732364563,24033.02,24071.65,23764.47,23764.47,-268.5499999999993,7782673987.8,7837742395.2,,24037.612,24142.451999999997,,-0.011363108781354813,-0.01565632190135436,,-18588523469,-16397993687,0,-1163084639,-573635339,-453809804,251544566.0
2025-08-25,TAIEX,7201907890,0.09589395634978673,431825644540,24108.81,24362.02,24108.75,24277.38,168.5699999999997,7531122557.0,7834913318.7,,23996.584000000003,24156.64,,0.011701498846669111,0.0049982116718219755,,33080398090,24114791914,0,3231606250,1384604238,4349395688,253933965.0
2025-08-26,TAIEX,8259451660,0.14684216823550628,532063118603,24237.36,24382.42,24113.03,24305.1,67.73999999999796,7527044290.6,7909498044.4,,23986.904000000002,24171.314000000002,,0.013265405156080011,0.005534908031892532,,-13609501837,-14508100864,0,-2425226828,335292654,2988533201,255260819.0
2025-08-27,TAIEX,7675360712,-0.07071788443641064,467302614203,24449.81,24539.88,24410.08,24519.9,70.09000000000015,7339767713.0,7790536478.1,,24165.796000000002,24186.302,,0.014653107226428598,0.013792848530544346,,7469544072,-1947570889,0,-1647591422,2815259360,8249447023,258305814.0
2025-08-28,TAIEX,7619400963,-0.007290829851489591,449197099212,24468.12,24502.37,24236.45,24236.45,-231.66999999999825,7465568182.8,7758279339.5,,24220.66,24186.137,,0.000651922779973827,0.0020802412555589976,,-13629453740,-9520531049,0,-2760035692,-237115928,-1111771071,260232173.0
2025-08-29,TAIEX,7716714041,0.01277174917983116,478348167874,24438.03,24570.15,24233.1,24233.1,-204.9300000000003,7694567053.2,7738620520.5,,24314.386,24175.999,,-0.0033431236963993275,0.002361887920329528,,-8636365019,-8635002338,0,-335109173,443164972,-109418480,262327206.0
2025-09-01,TAIEX,7882519521,0.02148653936365296,522538354934,24143.37,24312.83,23885.41,24071.73,-71.63999999999942,7830689379.4,7680905968.2,7573446028.95,24273.256,24134.920000000002,24110.057999999997,-0.008302388439359007,-0.0026181980300743622,-0.0015897099874250698,-21593857824,-7666900296,0,-3059842787,-2751433877,-8115680864,259146921.0
2025-09-02,TAIEX,6868073676,-0.1286956337117075,420249878093,24113.9,24295.03,23890.33,24016.78,-97.12000000000262,7552413782.6,7539729036.6,7586349566.75,24215.592,24101.248,24127.8675,-0.008210082165243026,-0.0035047147765958327,-0.004604115966734377,1096898955,7786239530,0,-6102683470,-1077548032,490890927,259012511.0
2025-09-03,TAIEX,6215237843,-0.09505370265337847,375154827165,24036.88,24103.23,23925.49,24100.3,63.419999999998254,7260389208.8,7300078460.9,7596651610.75,24131.672,24148.734,24160.514499999997,-0.0013000342454513468,-0.0020056537953501456,-0.002492268945679871,9982870499,8199762036,0,-637699825,594424275,1826384013,261032905.0
2025-09-04,TAIEX,7455297262,0.1995192220031667,450547881333,24235.27,24389.35,24168.16,24179.85,-55.42000000000189,7227568468.6,7346568325.7,7614083135.75,24120.352,24170.506,24169.3185,0.0024667135869327114,0.00038658685920755327,0.0004357383928718272,11633833868,11808136125,0,-1545453579,-221496133,1592647455,261541660.0
2025-09-05,TAIEX,6973379276,-0.06464101551743062,426569974111,24244.26,24494.58,24244.26,24494.58,250.32000000000335,7078901515.6,7386734284.4,7612238339.8,24172.648,24243.517,24192.9845,0.013318027880106503,0.010355881945676526,0.012466237888095331,33024810722,28281116909,0,-433975608,1990403544,3187265877,264481986.0
2025-09-08,TAIEX,7768998687,0.11409381011846745,443185374596,24610.85,24729.96,24547.38,24547.38,-63.469999999997526,7056197348.8,7443443364.1,7639178341.4,24267.778,24270.517,24213.5785,0.01152153279134178,0.011407379579100074,0.013785715316717908,15996611405,14618525216,0,-1220126071,148022770,2450189490,266510445.0
