date,stock_id,Trading_Volume,Volume_Change,Trading_money,open,max,min,close,close-open,max-min,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,date2,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險),融資餘額(億),融資增減(億),資金走向,資金走向判讀
2025-09-05,TAIEX,6973379276,-0.06464101551743062,426569974111,24244.26,24494.58,24244.26,24494.58,250.32000000000335,250.32000000000335,7078901515.6,7386734284.4,7612238339.8,24172.648,24243.517,24192.9845,0.013318027880106503,0.010355881945676526,0.012466237888095331,2025-09-05,33024810722,28281116909,0,-433975608,1990403544,3187265877,2644.81986,29.403260000000046,-109.33136721999671,偏重小型股(空)
2025-09-08,TAIEX,7768998687,0.11409381011846745,443185374596,24610.85,24729.96,24547.38,24547.38,-63.469999999997526,182.5799999999981,7056197348.8,7443443364.1,7639178341.4,24267.778000000002,24270.517,24213.5785,0.011521532791341627,0.011407379579100074,0.013785715316717908,2025-09-08,15996611405,14618525216,0,-1220126071,148022770,2450189490,2665.10445,20.284589999999753,-243.72070404999727,偏重小型股(空)
2025-09-09,TAIEX,8091742979,0.04154258547373082,512534389842,24650.46,24880.07,24650.46,24855.18,204.72000000000116,229.61000000000058,7300931209.4,7426672496.0,7668085270.2,24435.458000000002,24325.525,24248.4195,0.017176760100015228,0.021773630784947037,0.025022682406166733,2025-09-09,38526893843,35653694959,0,-1782067231,-593301300,5248567415,2675.37039,10.265940000000228,-190.81487842999906,偏重小型股(空)
2025-09-10,TAIEX,8693632992,0.07438323418848669,540470187649,25032.88,25272.23,25032.88,25192.59,159.70999999999913,239.34999999999854,7796610239.2,7528499724.0,7659518101.05,24653.916,24392.794,24289.548,0.021849429518620858,0.03278820786171516,0.03717821344390605,2025-09-10,57674044343,48947944283,0,-2727385240,1408535101,10044950199,2699.6307,24.260310000000118,-441.290753430001,偏重小型股(空)
2025-09-11,TAIEX,9553641157,0.09892390969246014,609494103234,25509.3,25541.44,25174.13,25215.71,-293.59000000000015,367.3099999999977,8216279018.2,7721923743.4,7740101541.45,24861.088,24490.72,24338.4285,0.014264138399735338,0.02960264132700051,0.036045116881724605,2025-09-11,28501291028,32999661731,0,-6271656501,-3293217011,5066502809,2658.54797,-41.08273000000008,-537.5201802800001,偏重小型股(空)
2025-09-12,TAIEX,7830621434,-0.1803521500006869,495051339127,25349.7,25492.28,25349.7,25474.64,124.93999999999869,142.5799999999981,8387727449.8,7733314482.7,7735967501.6,25057.1,24614.874,24395.436500000003,0.01666354047355843,0.034928718302600276,0.0442379254005148,2025-09-12,25670421666,26538500007,0,-5810072034,1220408612,3721585081,2656.14897,-2.3989999999998872,-129.3652166600014,偏重小型股(空)
2025-09-15,TAIEX,6958333955,-0.11139441311932026,407891369036,25494.1,25519.94,25284.17,25357.16,-136.9399999999987,235.77000000000044,8225594503.4,7640895926.1,7660900947.15,25219.056,24743.416999999998,24439.1685,0.005476176427856751,0.02480429441091351,0.03756230495321476,2025-09-15,-4703837224,2546248589,0,-8246829092,-276707377,1273450656,2642.10665,-14.042320000000018,-75.85930775999867,偏重小型股(空)
2025-09-16,TAIEX,7560459055,0.08653294077202708,455107630117,25335.46,25664.81,25335.46,25629.64,294.1800000000003,329.3500000000022,8119337718.6,7710134464.0,7624931750.3,25373.947999999997,24904.703,24502.9755,0.010076949791179629,0.029108437872156036,0.04598072181070413,2025-09-16,23591286670,27003531062,0,-4513790695,-1551866087,2653412390,2658.5669,16.460249999999633,41.80688330000066,偏重大型股(多)
2025-09-17,TAIEX,7849906030,0.038284312221567876,439687060953,25543.91,25632.07,25422.96,25438.25,-105.65999999999985,209.11000000000058,7950592326.2,7873601282.7,7586839871.8,25423.079999999998,25038.498,24593.616,0.0005967018944990888,0.015965494415839176,0.034343628037454846,2025-09-17,-11634659183,-5734012058,0,-5314277279,-634644981,48275135,2648.6923,-9.874599999999646,20.561191829999785,偏重大型股(多)
2025-09-18,TAIEX,8339290249,0.06234268501173383,467374300986,25543.17,25769.36,25475.25,25769.36,226.19000000000233,294.1100000000006,7707722144.6,7962000581.4,7654284453.55,25533.809999999998,25197.449,24683.9775,0.009225023605956296,0.022697178591372484,0.043971134716842115,2025-09-18,17228408262,12153720716,0,-4987795065,3850575418,6211907193,2668.08583,19.393529999999828,34.51238738000251,偏重大型股(多)
