日期,股票代號,開盤價,收盤價,收盤-開盤,最高價,最低價,日振幅,漲跌幅(%),成交量,量增率(%),5日均量,5日最大量_日期,5日最大量,10日均量,10日最大量_日期,10日最大量,20日均量,20日最大量_日期,20日最大量,實體(漲跌率),上影(%),上影/實體,下影(%),下影/實體,跳空缺口,5日平均,10日平均,20日平均,5日上升幅度,10日上升幅度,20日上升幅度,5日扣抵值,5日扣抵影響(%),10日扣抵值,10日扣抵影響(%),20日扣抵值,20日扣抵影響(%),均線得分,均線方向,均線排列,均線距離(%),均線狀態,趨勢強度說明,趨勢等級,5日乖離,10日乖離,20日乖離,總成交金額(億),法人總買超(億),買超-外資(億),買超-投信(億),買超-自營商(億),買超-融資(億),資金走向,資金走向判讀
2025-08-27,TAIEX,24449.81,24519.9,70.09000000000015,24539.88,24410.08,129.79999999999927,0.0088376513571227,7675360712,-0.07071788443641064,7339767713.0,2025-08-26,8259451660.0,7790536478.1,2025-08-20,8611743600.0,,,,0.0028666889435950684,0.000814184910439642,0.2850620630617709,0.0016276063003480348,0.5668426309031172,144.71000000000276,24165.796000000002,24186.302000000003,,178.89199999999983,14.988000000001193,,23962.13,0.022747645789746303,24238.1,0.011492705924575667,,,2,上揚,糾結,0.0848194839446314,糾結,🤝 盤整區間,0.0,0.014653107226428598,0.013792848530544194,,4673.02614203,74.69544072,-19.47570889,-16.47591422,110.64706383000001,30.44995000000017,-35.05539072000002,偏重小型股(空)
2025-08-28,TAIEX,24468.12,24236.45,-231.66999999999825,24502.37,24236.45,265.91999999999825,-0.011559998205539204,7619400963,-0.007290829851489591,7465568182.8,2025-08-26,8259451660.0,7758279339.5,2025-08-20,8611743600.0,,,,-0.009468238671381302,0.0013978239656000624,0.14783959943022515,0.0,0.0,,24220.66,24186.137,,54.86399999999776,-0.1650000000045111,,23764.47,0.019473974117496563,24334.48,-0.0040447342742026505,,,0,糾結,糾結,0.14263699372631927,糾結,🤝 盤整區間,0.0,0.000651922779973827,0.0020802412555589976,,4491.97099212,-136.2945374,-95.20531049,-27.60035692,-13.488869990000001,19.263590000000022,-114.63905259999828,偏重小型股(空)
2025-08-29,TAIEX,24438.03,24233.1,-204.9300000000003,24570.15,24233.1,337.0500000000029,-0.00013822156297651605,7716714041,0.01277174917983116,7694567053.2,2025-08-26,8259451660.0,7738620520.5,2025-08-20,8611743600.0,7506682774.75,2025-08-13,8864976375.0,-0.008385700484040665,0.005377256549105423,0.644707949055787,0.0,0.0,,24314.386,24175.999,24075.4185,93.72599999999875,-10.13799999999901,,24277.38,-0.0018272528071110372,24482.52,-0.01029253376579975,23378.94,0.03524765713012367,0,糾結,多頭排列,0.987934351198904,正常,❓ 趨勢不明,0.0,-0.0033431236963993275,0.002361887920329528,0.006549481164782194,4783.48167874,-86.36365019,-86.35002338,-3.35109173,3.3374649200000004,20.950329999999667,-139.51667980999997,偏重小型股(空)
2025-09-01,TAIEX,24143.37,24071.73,-71.63999999999942,24312.83,23885.41,427.4200000000019,-0.006659073746239605,7882519521,0.02148653936365296,7830689379.4,2025-08-26,8259451660.0,7680905968.2,2025-08-20,8611743600.0,7573446028.95,2025-08-13,8864976375.0,-0.0029672742454760633,0.006969982515404531,2.3654383026242902,0.007800577842289486,2.600781686208839,,24273.256,24134.920000000002,24110.057999999997,-41.12999999999738,-41.078999999997905,34.6394999999975,24305.1,-0.009694774741989836,24353.5,-0.0117054320566075,23660.59,0.01707978612255951,-1,糾結,多頭排列,0.6751322708713672,正常,❓ 趨勢不明,0.0,-0.008302388439359007,-0.0026181980300743622,-0.0015897099874250698,5225.38354934,-215.93857824,-76.66900296,-30.59842787,-108.67114740999999,-31.80284999999958,176.10142824000016,偏重大型股(多)
2025-09-02,TAIEX,24113.9,24016.78,-97.12000000000262,24295.03,23890.33,404.6999999999971,-0.002282760732195016,6868073676,-0.1286956337117075,7552413782.6,2025-09-01,7882519521.0,7539729036.6,2025-08-20,8611743600.0,7586349566.75,2025-08-13,8864976375.0,-0.0040275525734121236,0.0074554343007601715,1.8650123558483576,0.005292936514480841,1.3019975288302479,,24215.591999999997,24101.248,24127.8675,-57.66400000000431,-33.6720000000023,17.809500000003027,24519.9,-0.020948686709875455,23625.44,0.01629444080347158,23447.36,0.02370925661141911,-1,糾結,糾結,0.47350871007380635,糾結,🤝 盤整區間,0.0,-0.008210082165242877,-0.0035047147765958327,-0.004604115966734377,4202.49878093,10.96898955,77.8623953,-61.0268347,-5.86657105,-1.3441000000002532,-106.74488955000237,偏重小型股(空)
2025-09-03,TAIEX,24036.88,24100.3,63.419999999998254,24103.23,23925.49,177.73999999999796,0.0034775685999538838,6215237843,-0.09505370265337847,7260389208.8,2025-09-01,7882519521.0,7300078460.9,2025-08-26,8259451660.0,7596651610.75,2025-08-13,8864976375.0,0.002638445588612093,0.00012156047135592579,0.04619993692841961,0.004655704021108843,1.7563859981078915,,24131.672,24148.734,24160.514499999997,-83.91999999999825,47.486000000000786,32.646999999997206,24236.45,-0.005649307270034044,23962.13,0.005733123654062326,24003.77,0.004005344331813249,1,糾結,空頭排列,0.11944561085470537,糾結,🤝 盤整區間,0.0,-0.0013000342454513468,-0.0020056537953501456,-0.002492268945679871,3751.54827165,99.82870499,81.99762036,-6.37699825,24.20808288,20.203939999999875,-56.61264499000163,偏重小型股(空)
2025-09-04,TAIEX,24235.27,24179.85,-55.42000000000189,24389.35,24168.16,221.1899999999987,0.003300788786861544,7455297262,0.1995192220031667,7227568468.6,2025-09-01,7882519521.0,7346568325.7,2025-08-26,8259451660.0,7614083135.75,2025-08-13,8864976375.0,-0.002286749848464733,0.0063175115367977465,2.780223745939965,0.00048369424896221684,0.2109346806206837,79.54999999999927,24120.352,24170.506,24169.3185,-11.319999999999709,21.772000000000844,8.804000000003725,24233.1,-0.002202246912201689,23764.47,0.01717876661765881,24021.26,0.006558766907156172,1,糾結,糾結,0.20764785192043633,糾結,🤝 盤整區間,0.0,0.0024667135869327114,0.00038658685920755327,0.0004357383928718272,4505.47881333,116.33833868,118.08136125,-15.45453579,13.71151322,5.087550000000192,-176.84588868000208,偏重小型股(空)
2025-09-05,TAIEX,24244.26,24494.58,250.32000000000335,24494.58,24244.26,250.32000000000335,0.013016209777976424,6973379276,-0.06464101551743062,7078901515.6,2025-09-01,7882519521.0,7386734284.4,2025-08-26,8259451660.0,7612238339.8,2025-08-13,8864976375.0,0.010324918145573566,0.0,0.0,0.0,0.0,,24172.648,24243.517,24192.9845,52.296000000002095,73.0109999999986,23.66599999999744,24071.73,0.01726300267242803,24277.38,0.008867267779239355,24135.5,0.014659569586414697,3,上揚,糾結,0.2928102056890176,糾結,🤝 盤整區間,0.0,0.013318027880106503,0.010355881945676526,0.012466237888095331,4265.69974111,330.24810722,282.81116909,-4.33975608,51.77669421,29.403260000000046,-109.33136721999671,偏重小型股(空)
2025-09-08,TAIEX,24610.85,24547.38,-63.469999999997526,24729.96,24547.38,182.5799999999981,0.0021555789076603588,7768998687,0.11409381011846745,7056197348.8,2025-09-08,7768998687.0,7443443364.1,2025-08-26,8259451660.0,7639178341.4,2025-08-13,8864976375.0,-0.00257894383981039,0.004816425097331357,1.876634630534193,0.0,0.0,52.79999999999927,24267.778000000002,24270.517,24213.5785,95.13000000000102,27.0,20.59400000000096,24016.78,0.021615341433586892,24305.1,0.009869892428438491,24158.36,0.015847719797387763,3,上揚,糾結,0.23479189164798703,糾結,🤝 盤整區間,0.0,0.011521532791341627,0.011407379579100074,0.013785715316717908,4431.85374596,159.96611405,146.18525216,-12.20126071,25.9821226,20.284589999999753,-243.72070404999727,偏重小型股(空)
2025-09-09,TAIEX,24650.46,24855.18,204.72000000000116,24880.07,24650.46,229.61000000000058,0.01253901638382586,8091742979,0.04154258547373082,7300931209.4,2025-09-09,8091742979.0,7426672496.0,2025-09-09,8091742979.0,7668085270.2,2025-08-13,8864976375.0,0.008304916013737722,0.0010003991146326928,0.12158069558420904,0.0,0.0,,24435.458000000002,24325.525,24248.419499999996,167.6800000000003,55.00800000000163,34.84099999999671,24100.3,0.030371133904481925,24519.9,0.01348934105486256,24370.02,0.019519472399717075,3,上揚,多頭排列,0.7685523792637778,正常,🌤️ 穩定多頭,2.0,0.017176760100015228,0.021773630784947037,0.025022682406166886,5125.34389842,385.26893843,356.53694959,-17.82067231,46.55266115,10.265940000000228,-190.81487842999906,偏重小型股(空)
