report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,date_distance,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251230,TAIEX,28364.76,-342.3700000000026,-0.011926305416111001,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025-11-04,-39,open,8404740088,254713509.28705034,0.38571428571428573,2175283151.7774734,119794273.187769,0.4387755102040816,"11/04 open [28365] (dis： -342 , -1.19%) (vol_wei_pr ：43.88%)"
TAIEX-60-20251230,TAIEX,28364.04,-343.09000000000015,-0.01195138629323099,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025-12-09,-14,open,8116345692,254713509.28705034,0.38571428571428573,4996196827.740939,119794273.187769,0.4387755102040816,"12/09 open [28364] (dis： -343 , -1.20%) (vol_wei_pr ：43.88%)"
TAIEX-60-20251230,TAIEX,28350.37,-356.76000000000204,-0.012427574612996912,10,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251209_max|20251210_max|20251211_max|20251223_max|20251224_max,2025-12-23,-4,max,7965662925,312632966.3146084,0.5653061224489796,6934512346.385801,170216089.12891534,0.810204081632653,"12/23 max [28350] (dis： -357 , -1.24%) (vol_wei_pr ：81.02%)"
TAIEX-60-20251230,TAIEX,28350.24,-356.8899999999994,-0.012432103104699057,10,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251223_open|20251224_open,2025-10-30,-42,open,9446378341,312632966.3146084,0.5653061224489796,2203445660.6729336,170216089.12891534,0.810204081632653,"10/30 open [28350] (dis： -357 , -1.24%) (vol_wei_pr ：81.02%)"
TAIEX-60-20251230,TAIEX,28334.59,-372.5400000000009,-0.012977263836545168,10,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025-11-03,-40,close,8299689369,312632966.3146084,0.5653061224489796,2074922342.25,170216089.12891534,0.810204081632653,"11/03 close [28335] (dis： -373 , -1.30%) (vol_wei_pr ：81.02%)"
TAIEX-60-20251230,TAIEX,28310.47,-396.65999999999985,-0.013817473220067622,10,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025-12-23,-4,close,7965662925,312632966.3146084,0.5653061224489796,6934512346.385801,170216089.12891534,0.810204081632653,"12/23 close [28310] (dis： -397 , -1.38%) (vol_wei_pr ：81.02%)"
TAIEX-60-20251230,TAIEX,28303.78,-403.3500000000022,-0.01405051636997506,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025-12-08,-15,close,7603908443,340045304.33328253,0.6612244897959184,4521311011.122431,186515562.83424878,0.9306122448979591,"12/08 close [28304] (dis： -403 , -1.41%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251230,TAIEX,28303.78,-403.3500000000022,-0.01405051636997506,11,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251223_max|20251224_max,2025-12-08,-15,max,7603908443,340045304.33328253,0.6612244897959184,4521311011.122431,186515562.83424878,0.9306122448979591,"12/08 max [28304] (dis： -403 , -1.41%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251230,TAIEX,28294.74,-412.3899999999994,-0.01436542071603812,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025-10-29,-43,close,9076231278,340045304.33328253,0.6612244897959184,2044989409.515097,186515562.83424878,0.9306122448979591,"10/29 close [28295] (dis： -412 , -1.44%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251230,TAIEX,28287.53,-419.6000000000022,-0.014616577832754517,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025-10-30,-42,close,9446378341,340045304.33328253,0.6612244897959184,2203445660.6729336,186515562.83424878,0.9306122448979591,"10/30 close [28288] (dis： -420 , -1.46%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251230,TAIEX,28280.59,-426.5400000000009,-0.014858329620550743,11,20251029_min|20251030_min|20251031_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251223_min|20251224_min,2025-12-24,-3,min,7899870510,340045304.33328253,0.6612244897959184,7119761951.7031555,186515562.83424878,0.9306122448979591,"12/24 min [28281] (dis： -427 , -1.49%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251230,TAIEX,28280.47,-426.65999999999985,-0.014862509766737387,10,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251223_open,2025-10-31,-41,open,8339995492,301657284.9445855,0.5306122448979592,2013976157.1980603,151918342.60147205,0.6857142857142857,"10/31 open [28280] (dis： -427 , -1.49%) (vol_wei_pr ：68.57%)"
TAIEX-60-20251230,TAIEX,28272.06,-435.0699999999997,-0.015155468345320472,11,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251212_max|20251223_max,2025-12-12,-11,max,8508400161,344046683.9132979,0.6938775510204082,5811408570.25079,180871155.32691422,0.9061224489795918,"12/12 max [28272] (dis： -435 , -1.52%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251230,TAIEX,28253.53,-453.6000000000022,-0.015800952585646916,11,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251212_open|20251223_open,2025-11-03,-40,open,8299689369,344046683.9132979,0.6938775510204082,2074922342.25,180871155.32691422,0.9061224489795918,"11/03 open [28254] (dis： -454 , -1.58%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251230,TAIEX,28253.14,-453.9900000000016,-0.015814538060753603,11,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251212_open|20251223_open,2025-12-23,-4,open,7965662925,344046683.9132979,0.6938775510204082,6934512346.385801,180871155.32691422,0.9061224489795918,"12/23 open [28253] (dis： -454 , -1.58%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251230,TAIEX,28233.35,-473.7800000000025,-0.01650391383604012,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251212_close|20251223_close,2025-10-31,-41,close,8339995492,344046683.9132979,0.6938775510204082,2013976157.1980603,180871155.32691422,0.9061224489795918,"10/31 close [28233] (dis： -474 , -1.65%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251230,TAIEX,28233.35,-473.7800000000025,-0.01650391383604012,11,20251029_min|20251030_min|20251031_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251212_min|20251223_min,2025-10-31,-41,min,8339995492,344046683.9132979,0.6938775510204082,2013976157.1980603,180871155.32691422,0.9061224489795918,"10/31 min [28233] (dis： -474 , -1.65%) (vol_wei_pr ：90.61%)"
