日期,股票代號,開盤價,收盤價,收盤_開盤,最高價,最低價,日振幅,漲跌幅_pct,日振幅_昨收_pct,成交量,量增率_pct,實體_pct,上影_pct,下影_pct,K線型態,跳空缺口,5日平均,10日平均,20日平均,60日平均,5日扣抵值,5日扣抵影響_pct,10日扣抵值,10日扣抵影響_pct,20日扣抵值,20日扣抵影響_pct,60日扣抵值,60日扣抵影響_pct,5日乖離,10日乖離,20日乖離,60日乖離,總成交金額_億,法人總買超_億,買超_外資_億,買超_投信_億,買超_自營商_億,買超_融資_億,資金走向,資金走向判讀
2012-09-26,TAIEX,7702.77,7669.63,-33.14000000000033,7708.9,7649.5,59.399999999999636,-0.008339658112806483,-0.007680243285282202,3272289646.0,0.03913097156465512,0.5579124579124668,0.10319865319864036,0.3388888888888928,🟩 中實體K,-31.359999999999673,7730.839999999999,7724.944,7578.860500000001,7386.221666666666,7727.55,-0.007551863649224288,7578.8,0.01184281379936189,7371.44,0.038879320123656615,7422.59,0.032210158769067083,-0.007917638962906894,-0.007160440256913228,0.011976668524245752,0.03836986569362375,852.78922894,-56.53587053,-31.21338445,-14.94623661,-10.37624947,6.546970000000101,16.848900529999568,偏重大型股
2012-09-27,TAIEX,7665.89,7683.8,17.909999999999854,7699.23,7658.51,40.719999999999345,0.0018475467525812944,0.005309252206429691,2990391193.0,-0.08614715795241067,0.4398330058939131,0.3789292730844703,0.1812377210216166,🟥 中實體K,,7722.090000000001,7735.444,7594.4785,7390.575166666666,7754.59,-0.009212889455738041,7738.05,-0.0070603087014237745,7397.06,0.03731747312527653,7387.78,0.03852520888102247,-0.0049585021671595215,-0.0066762812839185745,0.011761373740145556,0.039675509242616404,784.041158,18.64659777,28.05475539,-5.60225588,-3.80590174,2.7172699999998713,-3.4538677700000164,偏重小型股
2012-09-28,TAIEX,7704.23,7715.16,10.930000000000291,7721.29,7665.35,55.9399999999996,0.004081313933210088,0.007280251958666233,3263586399.0,0.09135768144298437,0.19538791562388932,0.10958169467286652,0.6950303897032442,🟥 錘子線,,7714.204000000001,7733.155000000001,7610.383500000001,7396.0315,7768.3,-0.006887737908222296,7762.22,-0.00609967907340877,7450.53,0.034300001555379295,7368.59,0.04492064973377088,0.00012392723863657499,-0.0023269933164408057,0.013767571634202011,0.04314861287435023,883.14291334,45.71576733,61.38679022,-0.37790816,-15.29311473,-6.800559999999905,-27.985207329999803,偏重小型股
2012-10-01,TAIEX,7702.12,7675.72,-26.399999999999636,7707.89,7657.88,50.01000000000022,-0.005112013231093017,-0.006482043146221235,2269552733.0,-0.30458322362925133,0.5278944211157672,0.11537692461508521,0.3567286542691475,🟩 中實體K,,7695.688,7724.505,7621.643000000001,7401.150333333333,7734.13,-0.0076097095777334055,7734.26,-0.007626646099649278,7451.35,0.029231134017395095,7309.96,0.047651555814959404,-0.0025946997851264042,-0.00631561504588318,0.00709518931810363,0.0370982420705683,566.86205677,-4.07282997,5.53350283,-5.23465463,-4.37167817,2.3686700000000656,-24.6958400299997,偏重小型股
2012-10-02,TAIEX,7703.1,7718.68,15.579999999999927,7726.61,7683.03,43.57999999999993,0.005596869088502451,0.0056776432699473045,2597780786.0,0.1446223514560655,0.35750344194584566,0.18196420376318023,0.4605323542909741,🟥 中實體K,,7692.598000000001,7722.947,7635.0095,7407.962333333333,7669.63,0.006354713500235815,7781.91,-0.008191815180833971,7367.44,0.04550519000658152,7251.35,0.06054532640296008,0.0033905320413206855,-0.0005525092947031523,0.010958794484800598,0.041943742784509394,645.77522863,35.23192559,36.00718194,-3.82710292,3.05184657,0.22697999999991225,-19.878905589999988,偏重小型股
2012-10-03,TAIEX,7727.48,7684.63,-42.849999999999454,7727.53,7680.98,46.55000000000018,-0.004411376038390007,-0.0060308239232615135,2488565425.0,-0.04204179259026978,0.9205155746508977,0.0010741138560726466,0.07841031149302968,🟩 長黑K,,7695.598,7713.219,7650.869000000001,7415.183666666666,7683.8,0.00010800780258775338,7727.55,-0.005585174562731071,7326.72,0.04657478629420022,7257.91,0.05552902351837372,-0.0014252303719606777,-0.0037064940072361412,0.004412701354578089,0.0363371084851979,586.94341256,21.63653395,24.36855201,-1.440575,-1.29144306,-0.8299400000000787,-63.656593949999376,偏重小型股
2012-10-04,TAIEX,7678.48,7682.34,3.860000000000582,7689.08,7621.38,67.69999999999982,-0.000297997431236112,-0.00880979305444762,2879727317.0,0.15718368826891502,0.05701624815362766,0.09955686853766321,0.8434268833087091,🟥 錘子線,,7695.306,7708.697999999999,7668.65,7422.257500000001,7715.16,-0.004272135833613158,7754.59,-0.009404686592887063,7424.91,0.03350932137864248,7130.93,0.07177630773956892,-0.0016849232506153024,-0.0034192544577565844,0.0017851903529305041,0.03504088884008666,689.23140589,5.63098202,11.39674782,-3.91557406,-1.85019174,5.808070000000043,-7.579052019999462,偏重小型股
2012-10-05,TAIEX,7694.05,7690.65,-3.4000000000005457,7721.93,7675.48,46.45000000000073,0.0010817016690226533,0.006046334840686656,2877461412.0,-0.0007868470693817431,0.07319698600646916,0.6002152852529531,0.32658772874057773,🟩 流星線,,7690.404,7702.304000000001,7681.937,7431.586166666667,7675.72,0.0019413183541052293,7768.3,-0.01009667583364222,7482.74,0.027034125854121547,7104.27,0.07624583097657535,3.198791636943717e-05,-0.0015130537563826823,0.0011342191429062408,0.0348598303946642,730.18906479,-2.04202556,-3.78810215,3.05646226,-1.31038567,1.133310000000165,-2.491284440000711,偏重小型股
2012-10-08,TAIEX,7707.97,7615.89,-92.07999999999993,7707.97,7612.87,95.10000000000036,-0.009720894852840698,-0.012365664800764613,2533754644.0,-0.11944791564071894,0.9682439537329083,0.0,0.03175604626709175,🟩 長黑K,,7678.438,7687.063,7688.594500000001,7440.113166666666,7718.68,-0.013496781072205607,7734.13,-0.015525434322186872,7485.13,0.017169365628967884,7090.04,0.06904642792897486,-0.008145927596211596,-0.009258802744299062,-0.009456149625266455,0.023625559100478862,647.70225771,-8.64967268,16.49053159,-5.18806204,-19.95214223,-4.283390000000054,-79.14693731999988,偏重小型股
2012-10-09,TAIEX,7593.58,7592.01,-1.569999999999709,7631.96,7590.75,41.210000000000036,-0.0031355494892914824,-0.005411055044124854,2960894269.0,0.16857971075118827,0.038097549138551505,0.931327347731135,0.030575103130313447,⬜ 十字線,,7653.104000000001,7672.851,7693.938499999999,7448.479333333334,7684.63,-0.012199667808656717,7669.63,-0.01022390644901678,7570.45,0.0028398276609225225,7127.0,0.06124991932307784,-0.007982904714218041,-0.010535979390190093,-0.013247896379727897,0.01926979457730923,815.86510681,32.3523935,50.03598496,-6.77425163,-10.90933983,-10.613790000000108,-23.3086034999996,偏重小型股
