report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251226,TAIEX,28150.45,-405.57,-0.014202609,10,20251027_min|20251029_min|20251030_min|20251103_min|20251104_min|20251111_min|20251208_min|20251211_min|20251212_min|20251222_min,2025/11/3,min,8299689369,299916382.1,0.52244898,2223846703,145697369.2,0.587755102,"11/03 min [28150] (dis： -406 , -1.42%) (vol_wei_pr ：58.78%)"
TAIEX-60-20251226,TAIEX,28149.64,-406.38,-0.014230975,9,20251027_close|20251029_close|20251030_close|20251104_close|20251111_close|20251208_close|20251211_close|20251212_close|20251222_close,2025/12/22,close,8984157012,275827192.5,0.42244898,8096975663,139242830.7,0.524489796,"12/22 close [28150] (dis： -406 , -1.42%) (vol_wei_pr ：52.45%)"
TAIEX-60-20251226,TAIEX,28139.65,-416.37,-0.014580813,9,20251027_min|20251029_min|20251030_min|20251104_min|20251111_min|20251208_min|20251211_min|20251212_min|20251222_min,2025/10/29,min,9076231278,275827192.5,0.42244898,2191765380,139242830.7,0.524489796,"10/29 min [28140] (dis： -416 , -1.46%) (vol_wei_pr ：52.45%)"
TAIEX-60-20251226,TAIEX,28119.79,-436.23,-0.015276289,9,20251027_open|20251030_open|20251104_open|20251111_open|20251208_open|20251211_open|20251212_open|20251215_open|20251222_open,2025/12/15,open,7855274707,258387438.5,0.395918367,5953185004,144357861.3,0.567346939,"12/15 open [28120] (dis： -436 , -1.53%) (vol_wei_pr ：56.73%)"
TAIEX-60-20251226,TAIEX,28119.79,-436.23,-0.015276289,9,20251027_max|20251030_max|20251104_max|20251111_max|20251208_max|20251211_max|20251212_max|20251215_max|20251222_max,2025/12/15,max,7855274707,258387438.5,0.395918367,5953185004,144357861.3,0.567346939,"12/15 max [28120] (dis： -436 , -1.53%) (vol_wei_pr ：56.73%)"
TAIEX-60-20251226,TAIEX,28116.6,-439.42,-0.015387999,9,20251027_min|20251030_min|20251104_min|20251111_min|20251208_min|20251211_min|20251212_min|20251215_min|20251222_min,2025/10/30,min,9446378341,258387438.5,0.395918367,2361594585,144357861.3,0.567346939,"10/30 min [28117] (dis： -439 , -1.54%) (vol_wei_pr ：56.73%)"
TAIEX-60-20251226,TAIEX,28116.56,-439.46,-0.0153894,8,20251027_close|20251104_close|20251111_close|20251208_close|20251211_close|20251212_close|20251215_close|20251222_close,2025/11/4,close,8404740088,235408022.5,0.353061224,2331410756,138613007.3,0.516326531,"11/04 close [28117] (dis： -439 , -1.54%) (vol_wei_pr ：51.63%)"
TAIEX-60-20251226,TAIEX,28097.54,-458.48,-0.016055459,8,20251027_open|20251104_open|20251111_open|20251208_open|20251211_open|20251212_open|20251215_open|20251222_open,2025/12/12,open,8508400161,235408022.5,0.353061224,6228513486,138613007.3,0.516326531,"12/12 open [28098] (dis： -458 , -1.61%) (vol_wei_pr ：51.63%)"
TAIEX-60-20251226,TAIEX,28087.93,-468.09,-0.01639199,9,20251027_max|20251028_max|20251104_max|20251111_max|20251208_max|20251211_max|20251212_max|20251215_max|20251222_max,2025/10/28,max,8579810711,277817249.5,0.428571429,2001311614,148505309.3,0.591836735,"10/28 max [28088] (dis： -468 , -1.64%) (vol_wei_pr ：59.18%)"
TAIEX-60-20251226,TAIEX,28071.76,-484.26,-0.016958246,10,20251027_max|20251028_max|20251104_max|20251111_max|20251112_max|20251208_max|20251211_max|20251212_max|20251215_max|20251222_max,2025/11/12,max,8954069218,310755997.3,0.532653061,3057904753,159754223.2,0.667346939,"11/12 max [28072] (dis： -484 , -1.70%) (vol_wei_pr ：66.73%)"
