日期,股票代號,開盤價,收盤價,收盤-開盤,最高價,最低價,日振幅,漲跌幅(%),成交量,量增率(%),5日均量,5日最大量_日期,5日最大量,10日均量,10日最大量_日期,10日最大量,20日均量,20日最大量_日期,20日最大量,實體(漲跌率),上影(%),下影(%),上影/實體,下影/實體,跳空缺口,5日平均,10日平均,20日平均,5日上升幅度,10日上升幅度,20日上升幅度,5日扣抵值,5日扣抵影響(%),10日扣抵值,10日扣抵影響(%),20日扣抵值,20日扣抵影響(%),均線得分,均線方向,均線排列,均線距離(%),均線狀態,趨勢強度說明,趨勢等級,5日乖離,10日乖離,20日乖離,總成交金額(億),法人總買超(億),買超-外資(億),買超-投信(億),買超-自營商(億),買超-融資(億),資金走向,資金走向判讀
2025-10-01,TAIEX,26078.29,25982.91,-95.38000000000102,26325.79,25982.91,342.880000000001,0.006288404502771784,7679791251,0.14630552465653288,7891582749.4,2025-09-25,8846470892.0,8223306486.5,2025-09-19,9787714693.0,7966720475.25,2025-09-19,9787714693.0,-0.0036574483986488767,0.009401427269609002,0.0,,,,25920.870000000003,25851.829999999998,25378.2665,-52.89199999999619,35.327000000001135,,26196.73,-0.008229255306661175,25438.25,0.020962240180179968,24100.3,0.07245570261375653,0,糾結,多頭排列,2.109902926491534,發散,❓ 趨勢不明,0.0,0.0023934381832090216,0.005070434085324008,0.023825248269025715,4688.40061902,165.95101819,126.64964009,6.33133899,32.97003911,8.075309999999718,-269.40632819000075,偏重小型股(空)
2025-10-02,TAIEX,26392.31,26378.39,-13.920000000001892,26489.79,26330.25,159.54000000000087,0.015220773962577693,8085314896,0.05280399320062196,7929076112.6,2025-09-25,8846470892.0,8246847373.1,2025-09-19,9787714693.0,8060224327.9,2025-09-19,9787714693.0,-0.0005274263601784721,0.003679908372244535,0.0018283153407202522,,,,25957.202,25945.844,25492.171,36.331999999998516,94.01400000000285,113.90449999999691,26023.85,0.01344054735713593,25769.36,0.023088217286953407,24179.85,0.08334625426343309,3,上揚,多頭排列,1.8025571270121357,正常,🌤️ 穩定多頭,2.0,0.016226248114107146,0.016671109253566716,0.03476435961456562,5066.83446386,324.6998802,234.09818512,2.37157488,88.2301202,27.477560000000267,-366.09744020000215,偏重小型股(空)
2025-10-03,TAIEX,26435.1,26761.06,325.96000000000276,26761.06,26410.03,351.0300000000025,0.014506950575831273,7784825692,-0.03716481149653914,7716747072.6,2025-09-26,8334201118.0,8191400917.4,2025-09-19,9787714693.0,8076700749.4,2025-09-19,9787714693.0,0.012330575636180788,0.0,0.0009492605650201726,,,,26104.644,26045.014000000003,25621.231499999998,147.4419999999991,99.17000000000189,129.0604999999996,25580.32,0.04412157067022015,25578.37,0.04419443773901341,24494.58,0.0846932072197439,3,上揚,多頭排列,1.864756220899346,正常,🌤️ 穩定多頭,2.0,0.02514556413793657,0.02749263256299261,0.04448765470153156,4800.9557607,213.20756058,169.59990133,-16.89575342,60.50341267,28.948829999999816,83.80360942000294,偏重大型股(多)
2025-10-07,TAIEX,27029.28,27211.95,182.6700000000019,27301.42,27017.08,284.3399999999965,0.01684873469137618,9348656371,0.20088191320803178,7919638123.2,2025-10-07,9348656371.0,8147495085.2,2025-10-07,9348656371.0,8195464604.15,2025-09-19,9787714693.0,0.006758226634227841,0.0032771189190891,0.0004515661944220874,,,,26430.97,26208.371999999996,25757.1,326.32600000000093,163.3579999999929,135.8685000000005,25820.54,0.051132315030712604,25880.6,0.04892519646699344,24547.38,0.0979191127427472,3,上揚,多頭排列,2.5787012119759316,發散,🚀 強勢多頭,3.0,0.02954791292184886,0.03829226782953192,0.056483455047346254,5757.80610445,53.32127226,6.76562801,-67.12400915,113.6796534,13.465509999999995,115.8832177400019,偏重大型股(多)
2025-10-08,TAIEX,26999.82,27063.68,63.86000000000058,27110.43,26883.99,226.4399999999987,-0.0054487091149293026,8261189883,-0.11632329233678708,8231955618.6,2025-10-07,9348656371.0,8188814703.5,2025-10-07,9348656371.0,8220074163.95,2025-09-19,9787714693.0,0.0023652009531915613,0.0017244285686357612,0.004308512240928452,,,,26679.597999999998,26326.68,25882.915,248.62799999999697,118.30800000000454,125.81500000000233,25982.91,0.039934332655426036,26247.37,0.030162564736207393,24855.18,0.08160383214699553,3,上揚,多頭排列,3.029627898462584,發散,🚀 強勢多頭,3.0,0.014396093974129677,0.027994414791382732,0.04561947524071378,4712.75287964,-153.14718837,-140.94387269,-43.46217344,31.25885776,3.626560000000154,213.38062837000044,偏重大型股(多)
2025-10-09,TAIEX,27301.61,27301.92,0.3099999999976717,27463.12,27253.07,210.04999999999927,0.00880294180244512,9444331803,0.14321688966799892,8584863729.0,2025-10-09,9444331803.0,8238223239.2,2025-10-09,9444331803.0,8287703605.15,2025-09-19,9787714693.0,1.13546417225091e-05,0.0058696899696757225,0.0017810837457945426,,,,26943.4,26432.135000000002,26005.252,263.8020000000033,105.45500000000175,122.33699999999953,26378.39,0.03382655871821465,26196.73,0.040480303216770055,25192.59,0.07725940153659516,3,上揚,多頭排列,3.5454977285624576,發散,🚀 強勢多頭,3.0,0.013306412702182975,0.032906346763134954,0.049861774075482826,5826.70484489,81.13042293,44.51256397,-23.71509167,60.33295063,20.235709999999926,-101.05613293000225,偏重小型股(空)
2025-10-13,TAIEX,26762.6,26923.42,160.8199999999997,26965.72,26470.44,495.2800000000025,-0.013863493849516812,10191083804,0.07906880196254791,9006017510.6,2025-10-13,10191083804.0,8467546811.6,2025-10-13,10191083804.0,8362576145.75,2025-10-13,10191083804.0,0.006009132147100795,0.0015686582816999846,0.01103721736397279,,,,27052.406,26504.803999999996,26091.7935,109.00599999999758,72.66899999999441,86.54149999999936,26761.06,0.006030437440711357,26023.85,0.033412174233436905,25215.71,0.06342842031212971,3,上揚,多頭排列,3.6181714439151746,發散,🚀 強勢多頭,3.0,-0.004768004738654329,0.015793967010659722,0.03187310600170121,6084.60235868,-678.4741291,-563.12754939,-7.27586554,-108.07071417,-24.458959999999934,863.7530890999997,偏重大型股(多)
2025-10-14,TAIEX,27282.1,26793.15,-488.9499999999971,27507.16,26764.06,743.0999999999985,-0.004838538343196994,12066540173,0.18402913812404167,9862360406.8,2025-10-14,12066540173.0,8789553739.7,2025-10-14,12066540173.0,8488221096.55,2025-10-14,12066540173.0,-0.017922007470099338,0.008181869738642641,0.0010869053499357028,,,,27058.824,26581.733999999997,26170.665499999996,6.418000000001484,76.93000000000029,78.87199999999575,27211.95,-0.01563086087302162,25580.32,0.04526642070827811,25474.64,0.049210712439560184,3,上揚,多頭排列,3.3384721886891198,發散,🚀 強勢多頭,3.0,-0.009818386785767151,0.00795343148042956,0.023785581608538234,7090.8635379,-244.73110254,-163.48769283,-18.75833093,-62.485078779999995,-78.21667000000025,-166.00222745999685,偏重小型股(空)
2025-10-15,TAIEX,26911.05,27275.71,364.65999999999985,27275.71,26773.15,502.5599999999977,0.018010573598102413,8387861014,-0.3048661096103906,9670201335.4,2025-10-14,12066540173.0,8794919729.3,2025-10-14,12066540173.0,8516083075.55,2025-10-14,12066540173.0,0.01355056751780402,0.0,0.005150682680222455,,,,27071.576,26751.272999999997,26260.719,12.752000000000407,169.53900000000067,90.05350000000544,27063.68,0.007773583162454757,25820.54,0.05335039857807545,25357.16,0.07033914057599232,3,上揚,多頭排列,3.037540734948273,發散,🚀 強勢多頭,3.0,0.0075405288558005705,0.01960418855581197,0.03865054113712569,5214.29411299,-129.60138277,-151.00216875,-10.3720155,31.772801480000002,49.063460000000305,445.19792276999954,偏重大型股(多)
2025-10-16,TAIEX,27337.32,27647.87,310.5499999999993,27732.78,27337.32,395.4599999999991,0.013644374426916838,9035460141,0.07720670692076397,9825055387.0,2025-10-14,12066540173.0,9028505502.8,2025-10-14,12066540173.0,8619939384.85,2025-10-14,12066540173.0,0.011359928478724296,0.003061719741042905,0.0,,,,27188.414,26934.006,26375.2545,116.83799999999974,182.7330000000038,114.53549999999814,27301.92,0.012512717977912972,25982.91,0.060220190560791816,25629.64,0.07299766672803365,3,上揚,多頭排列,3.030495620093975,發散,🚀 強勢多頭,3.0,0.01689896291854311,0.026504189536454316,0.04825035906288601,5654.81652363,237.70707584,129.59197265,2.00305686,106.11204633,50.29003999999986,22.552884159999394,偏重大型股(多)
