date,stock_id,buy,name,sell
2025-09-19,00687B,6117788,Dealer_Hedging,12135171
2025-09-22,00687B,2304050,Foreign_Investor,453300
2025-09-22,00687B,0,Foreign_Dealer_Self,0
2025-09-22,00687B,0,Investment_Trust,2764000
2025-09-22,00687B,0,Dealer_self,0
2025-09-22,00687B,14478685,Dealer_Hedging,9296886
2025-09-23,00687B,1749000,Foreign_Investor,994000
2025-09-23,00687B,0,Foreign_Dealer_Self,0
2025-09-23,00687B,0,Investment_Trust,0
2025-09-23,00687B,410000,Dealer_self,0
2025-09-23,00687B,13503005,Dealer_Hedging,3965594
2025-09-24,00687B,15192000,Foreign_Investor,52000
2025-09-24,00687B,0,Foreign_Dealer_Self,0
2025-09-24,00687B,0,Investment_Trust,0
2025-09-24,00687B,0,Dealer_self,30000
2025-09-24,00687B,8841063,Dealer_Hedging,13013000
2025-09-25,00687B,5187095,Foreign_Investor,264000
2025-09-25,00687B,0,Foreign_Dealer_Self,0
2025-09-25,00687B,0,Investment_Trust,0
2025-09-25,00687B,6000,Dealer_self,0
2025-09-25,00687B,9317000,Dealer_Hedging,10784748
2025-09-26,00687B,12972200,Foreign_Investor,3233898
2025-09-26,00687B,0,Foreign_Dealer_Self,0
2025-09-26,00687B,0,Investment_Trust,0
2025-09-26,00687B,0,Dealer_self,700000
2025-09-26,00687B,12647357,Dealer_Hedging,11681598
2025-09-30,00687B,3506000,Foreign_Investor,2015020
2025-09-30,00687B,0,Foreign_Dealer_Self,0
2025-09-30,00687B,0,Investment_Trust,0
2025-09-30,00687B,0,Dealer_self,0
2025-09-30,00687B,10224970,Dealer_Hedging,3277009
2025-10-01,00687B,3814050,Foreign_Investor,872500
2025-10-01,00687B,0,Foreign_Dealer_Self,0
2025-10-01,00687B,0,Investment_Trust,0
2025-10-01,00687B,10000,Dealer_self,0
2025-10-01,00687B,4237176,Dealer_Hedging,6075108
2025-10-02,00687B,5921000,Foreign_Investor,680000
2025-10-02,00687B,0,Foreign_Dealer_Self,0
2025-10-02,00687B,0,Investment_Trust,0
2025-10-02,00687B,0,Dealer_self,0
2025-10-02,00687B,7861155,Dealer_Hedging,9854000
2025-10-03,00687B,17515000,Foreign_Investor,2306000
2025-10-03,00687B,0,Foreign_Dealer_Self,0
2025-10-03,00687B,100000,Investment_Trust,0
2025-10-03,00687B,0,Dealer_self,20000
2025-10-03,00687B,8556662,Dealer_Hedging,16707074
